iteracion,mejor_fitness,error_knn,penalizacion_tamano,num_caracteristicas,diversidad_poblacion
1,0.3648813186813187,0.4368131868131868,0.176,88,1.88573462095253
2,0.3274483516483517,0.4065934065934066,0.196,98,1.9679782562353394
3,0.3274483516483517,0.4065934065934066,0.196,98,1.9930352169660435
4,0.3274483516483517,0.4065934065934066,0.196,98,2.0310381251401406
5,0.3274483516483517,0.4065934065934066,0.196,98,2.0813196583497584
6,0.3274483516483517,0.4065934065934066,0.196,98,2.1489127933600196
7,0.3274483516483517,0.4065934065934066,0.196,98,2.1776403662876063
8,0.3274483516483517,0.4065934065934066,0.196,98,2.1754789021478746
9,0.3274483516483517,0.4065934065934066,0.196,98,2.1841556875918737
10,0.3274483516483517,0.4065934065934066,0.196,98,2.167316034731449
11,0.3274483516483517,0.4065934065934066,0.196,98,2.1378610645409135
12,0.3274483516483517,0.4065934065934066,0.196,98,2.1124651034717346
13,0.3274483516483517,0.4065934065934066,0.196,98,2.0917044848141786
14,0.3274483516483517,0.4065934065934066,0.196,98,2.0580679879349675
15,0.3274483516483517,0.4065934065934066,0.196,98,2.0374817816293604
16,0.3274483516483517,0.4065934065934066,0.196,98,2.011670827337499
17,0.3274483516483517,0.4065934065934066,0.196,98,2.000515057717345
18,0.32068571428571424,0.3928571428571429,0.244,122,1.9901314214014765
19,0.32068571428571424,0.3928571428571429,0.244,122,1.9842188571576769
20,0.32068571428571424,0.3928571428571429,0.244,122,1.9733926498013707
21,0.32068571428571424,0.3928571428571429,0.244,122,1.9591668289956974
22,0.32068571428571424,0.3928571428571429,0.244,122,1.9476382303793571
23,0.32068571428571424,0.3928571428571429,0.244,122,1.9473498890356022
24,0.32068571428571424,0.3928571428571429,0.244,122,1.934739342698431
25,0.32068571428571424,0.3928571428571429,0.244,122,1.9298133140977807
26,0.32068571428571424,0.3928571428571429,0.244,122,1.924357116403762
27,0.32068571428571424,0.3928571428571429,0.244,122,1.909211801593499
28,0.32068571428571424,0.3928571428571429,0.244,122,1.9029394843453273
29,0.32068571428571424,0.3928571428571429,0.244,122,1.8978795571889286
30,0.32068571428571424,0.3928571428571429,0.244,122,1.8925884632996548
31,0.32068571428571424,0.3928571428571429,0.244,122,1.8681592984401643
32,0.3164131868131868,0.3571428571428571,0.266,133,1.860179051093485
33,0.3164131868131868,0.3571428571428571,0.266,133,1.8559747303026943
34,0.3164131868131868,0.3571428571428571,0.266,133,1.8542232794197888
35,0.3164131868131868,0.3571428571428571,0.266,133,1.8429219095300187
36,0.3164131868131868,0.3571428571428571,0.266,133,1.8269256571900396
37,0.3164131868131868,0.3571428571428571,0.266,133,1.8367944378860268
38,0.3164131868131868,0.3571428571428571,0.266,133,1.8307982032474692
39,0.3164131868131868,0.3571428571428571,0.266,133,1.8277677432460915
40,0.3164131868131868,0.3571428571428571,0.266,133,1.8385358520375916
41,0.3164131868131868,0.3571428571428571,0.266,133,1.843606294018498
42,0.3164131868131868,0.3571428571428571,0.266,133,1.8447877020878483
43,0.3164131868131868,0.3571428571428571,0.266,133,1.835112890915304
44,0.3164131868131868,0.3571428571428571,0.266,133,1.833647366994599
45,0.3164131868131868,0.3571428571428571,0.266,133,1.835615688557095
46,0.3164131868131868,0.3571428571428571,0.266,133,1.8291680764111475
47,0.3164131868131868,0.3571428571428571,0.266,133,1.8263494508087832
48,0.3164131868131868,0.3571428571428571,0.266,133,1.8229570788138767
49,0.3164131868131868,0.3571428571428571,0.266,133,1.81993706280682
50,0.3150681318681319,0.3571428571428571,0.284,142,1.8130809678856805
51,0.3150681318681319,0.3571428571428571,0.284,142,1.8034882947388304
52,0.3150681318681319,0.3571428571428571,0.284,142,1.800948850389114
53,0.3150681318681319,0.3571428571428571,0.284,142,1.7897769500342748
54,0.3109230769230769,0.33791208791208793,0.294,147,1.781326056558744
55,0.3109230769230769,0.33791208791208793,0.294,147,1.77057227699982
56,0.3109230769230769,0.33791208791208793,0.294,147,1.769471060949771
57,0.3109230769230769,0.33791208791208793,0.294,147,1.7663692656689904
58,0.3109230769230769,0.33791208791208793,0.294,147,1.761209048774666
59,0.3109230769230769,0.33791208791208793,0.294,147,1.7502725153774117
60,0.30110549450549456,0.3846153846153846,0.288,144,1.740342005228774
61,0.30110549450549456,0.3846153846153846,0.288,144,1.7400205685760852
62,0.30110549450549456,0.3846153846153846,0.288,144,1.736255345433465
63,0.30110549450549456,0.3846153846153846,0.288,144,1.7329743620451576
64,0.30110549450549456,0.3846153846153846,0.288,144,1.7354119039663192
65,0.30110549450549456,0.3846153846153846,0.288,144,1.7342525492840988
66,0.30110549450549456,0.3846153846153846,0.288,144,1.725545092095303
67,0.30110549450549456,0.3846153846153846,0.288,144,1.7235114617600762
68,0.30110549450549456,0.3846153846153846,0.288,144,1.7235114617600762
69,0.30110549450549456,0.3846153846153846,0.288,144,1.7235114617600762
70,0.30110549450549456,0.3846153846153846,0.288,144,1.7221570434742695
71,0.30110549450549456,0.3846153846153846,0.288,144,1.7210483073219542
72,0.30110549450549456,0.3846153846153846,0.288,144,1.7194879719938516
73,0.30110549450549456,0.3846153846153846,0.288,144,1.7194879719938516
74,0.30110549450549456,0.3846153846153846,0.288,144,1.7117469433377586
75,0.30110549450549456,0.3846153846153846,0.288,144,1.7112554334409924
76,0.30110549450549456,0.3846153846153846,0.288,144,1.7080559944769607
77,0.30110549450549456,0.3846153846153846,0.288,144,1.7054791725637433
78,0.30110549450549456,0.3846153846153846,0.288,144,1.7041168787034169
79,0.30110549450549456,0.3846153846153846,0.288,144,1.699107254438478
80,0.30110549450549456,0.3846153846153846,0.288,144,1.6957207701628452
81,0.30110549450549456,0.3846153846153846,0.288,144,1.6953917113196704
82,0.30110549450549456,0.3846153846153846,0.288,144,1.692452291592113
83,0.30110549450549456,0.3846153846153846,0.288,144,1.6827886399533152
84,0.30110549450549456,0.3846153846153846,0.288,144,1.6782869622437802
85,0.30110549450549456,0.3846153846153846,0.288,144,1.677584068887327
86,0.30110549450549456,0.3846153846153846,0.288,144,1.675528156440268
87,0.30110549450549456,0.3846153846153846,0.288,144,1.6736739926579631
88,0.30110549450549456,0.3846153846153846,0.288,144,1.6700212589559487
89,0.30110549450549456,0.3846153846153846,0.288,144,1.6586806788875288
90,0.30110549450549456,0.3846153846153846,0.288,144,1.6573672150982948
91,0.30110549450549456,0.3846153846153846,0.288,144,1.6483284939406586
92,0.30110549450549456,0.3846153846153846,0.288,144,1.6465233879028411
93,0.30110549450549456,0.3846153846153846,0.288,144,1.6434134695460372
94,0.30110549450549456,0.3846153846153846,0.288,144,1.6429917431261427
95,0.30110549450549456,0.3846153846153846,0.288,144,1.6428491855955112
96,0.30110549450549456,0.3846153846153846,0.288,144,1.637808883480825
97,0.30110549450549456,0.3846153846153846,0.288,144,1.6369886659562989
98,0.30110549450549456,0.3846153846153846,0.288,144,1.634493400278046
99,0.30110549450549456,0.3846153846153846,0.288,144,1.634471225415896
100,0.30110549450549456,0.3846153846153846,0.288,144,1.6273800777184342
101,0.30110549450549456,0.3846153846153846,0.288,144,1.6263821424510523
102,0.30110549450549456,0.3846153846153846,0.288,144,1.620819621184627
103,0.30110549450549456,0.3846153846153846,0.288,144,1.6104212880041608
104,0.30110549450549456,0.3846153846153846,0.288,144,1.6038875924426454
105,0.30110549450549456,0.3846153846153846,0.288,144,1.6020870651459085
106,0.30110549450549456,0.3846153846153846,0.288,144,1.599086210719209
107,0.30110549450549456,0.3846153846153846,0.288,144,1.5973322757368846
108,0.30110549450549456,0.3846153846153846,0.288,144,1.5901827095160257
109,0.30110549450549456,0.3846153846153846,0.288,144,1.5880806461198116
110,0.30110549450549456,0.3846153846153846,0.288,144,1.587279062165361
111,0.30110549450549456,0.3846153846153846,0.288,144,1.5837508512936291
112,0.30110549450549456,0.3846153846153846,0.288,144,1.5813119599809753
113,0.30110549450549456,0.3846153846153846,0.288,144,1.5692752080848615
114,0.30110549450549456,0.3846153846153846,0.288,144,1.5608010911087908
115,0.30110549450549456,0.3846153846153846,0.288,144,1.5592362841358614
116,0.30110549450549456,0.3846153846153846,0.288,144,1.5540275729673905
117,0.30110549450549456,0.3846153846153846,0.288,144,1.5537530871921466
118,0.30110549450549456,0.3846153846153846,0.288,144,1.5479873856592503
119,0.30110549450549456,0.3846153846153846,0.288,144,1.5479873856592503
120,0.30110549450549456,0.3846153846153846,0.288,144,1.537631549588834
121,0.30110549450549456,0.3846153846153846,0.288,144,1.5349318808435874
122,0.30110549450549456,0.3846153846153846,0.288,144,1.5152189493678627
123,0.30110549450549456,0.3846153846153846,0.288,144,1.5099542798791126
124,0.30110549450549456,0.3846153846153846,0.288,144,1.5013848300788868
125,0.30110549450549456,0.3846153846153846,0.288,144,1.4985827718871358
126,0.30110549450549456,0.3846153846153846,0.288,144,1.4947614756830776
127,0.30110549450549456,0.3846153846153846,0.288,144,1.4947614756830776
128,0.30110549450549456,0.3846153846153846,0.288,144,1.4924381537417708
129,0.30110549450549456,0.3846153846153846,0.288,144,1.4908126895508393
130,0.30110549450549456,0.3846153846153846,0.288,144,1.4784141380145348
131,0.30110549450549456,0.3846153846153846,0.288,144,1.472203863904726
132,0.30110549450549456,0.3846153846153846,0.288,144,1.472203863904726
133,0.30110549450549456,0.3846153846153846,0.288,144,1.462272828288079
134,0.30110549450549456,0.3846153846153846,0.288,144,1.4617775758532685
135,0.30110549450549456,0.3846153846153846,0.288,144,1.4603176153120883
136,0.30110549450549456,0.3846153846153846,0.288,144,1.4597173615815426
137,0.30110549450549456,0.3846153846153846,0.288,144,1.4583380645352582
138,0.30110549450549456,0.3846153846153846,0.288,144,1.4495030469439678
139,0.30110549450549456,0.3846153846153846,0.288,144,1.4397425487850855
140,0.30110549450549456,0.3846153846153846,0.288,144,1.4367392729350816
