iteracion,mejor_fitness,error_knn,pct_reduccion,num_caracteristicas,diversidad_poblacion
1,0.08166666666666669,0.050000000000000044,0.4,12,5.282576547446227
2,0.0716666666666667,0.0625,0.26666666666666666,8,4.836228813878077
3,0.0716666666666667,0.0625,0.26666666666666666,8,4.595746833835751
4,0.0670833333333333,0.050000000000000044,0.36666666666666664,11,4.245235419120845
5,0.0670833333333333,0.050000000000000044,0.36666666666666664,11,4.029054663724552
6,0.0670833333333333,0.050000000000000044,0.36666666666666664,11,3.9052648132647656
7,0.060416666666666646,0.07499999999999996,0.16666666666666666,5,3.64532867628057
8,0.060416666666666646,0.07499999999999996,0.16666666666666666,5,3.323383886165613
9,0.060416666666666646,0.07499999999999996,0.16666666666666666,5,3.1736058965608676
10,0.060416666666666646,0.07499999999999996,0.16666666666666666,5,3.068221140505085
11,0.060416666666666646,0.07499999999999996,0.16666666666666666,5,2.9941372034516887
12,0.060416666666666646,0.07499999999999996,0.16666666666666666,5,2.845642770428729
13,0.055833333333333346,0.08750000000000002,0.2,6,2.8704347249246416
14,0.055833333333333346,0.08750000000000002,0.2,6,2.8288635167971705
15,0.055833333333333346,0.08750000000000002,0.2,6,2.8049249359214996
16,0.055833333333333346,0.08750000000000002,0.2,6,2.6773509014014487
17,0.055833333333333346,0.08750000000000002,0.2,6,2.639753733048289
18,0.055833333333333346,0.08750000000000002,0.2,6,2.5921778674945193
19,0.05250000000000001,0.0625,0.3333333333333333,10,2.5746972409460045
20,0.05250000000000001,0.0625,0.3333333333333333,10,2.5179279519675246
21,0.05250000000000001,0.0625,0.3333333333333333,10,2.5075576579134156
22,0.05250000000000001,0.0625,0.3333333333333333,10,2.370480822237767
23,0.05250000000000001,0.0625,0.3333333333333333,10,2.3395674948691485
24,0.05250000000000001,0.0625,0.3333333333333333,10,2.32844933964687
25,0.05250000000000001,0.0625,0.3333333333333333,10,2.2709115345785036
26,0.05250000000000001,0.0625,0.3333333333333333,10,2.2685698987546634
27,0.04916666666666668,0.0625,0.2,6,2.162186074863089
28,0.04916666666666668,0.0625,0.2,6,2.0578918343000168
29,0.04916666666666668,0.0625,0.2,6,2.0578918343000168
30,0.04916666666666668,0.0625,0.2,6,2.0578918343000168
31,0.04916666666666668,0.0625,0.2,6,2.0578918343000168
32,0.04916666666666668,0.0625,0.2,6,2.0491580159394385
33,0.04916666666666668,0.0625,0.2,6,2.0491580159394385
34,0.04916666666666668,0.0625,0.2,6,2.0491580159394385
35,0.04916666666666668,0.0625,0.2,6,2.0491580159394385
36,0.04916666666666668,0.0625,0.2,6,2.0306355772076716
37,0.04916666666666668,0.0625,0.2,6,2.0154472426319265
38,0.04916666666666668,0.0625,0.2,6,2.0198498083811702
39,0.04916666666666668,0.0625,0.2,6,1.9882756580795438
40,0.04916666666666668,0.0625,0.2,6,1.916621837283106
41,0.04916666666666668,0.0625,0.2,6,1.916621837283106
42,0.04916666666666668,0.0625,0.2,6,1.916621837283106
43,0.04916666666666668,0.0625,0.2,6,1.916621837283106
44,0.04916666666666668,0.0625,0.2,6,1.9212575257203868
45,0.04916666666666668,0.0625,0.2,6,1.9009616798232543
46,0.04916666666666668,0.0625,0.2,6,1.9009616798232543
47,0.04916666666666668,0.0625,0.2,6,1.8924769762790281
48,0.04916666666666668,0.0625,0.2,6,1.85948766218077
49,0.04916666666666668,0.0625,0.2,6,1.853782228768971
50,0.04916666666666668,0.0625,0.2,6,1.853782228768971
51,0.04916666666666668,0.0625,0.2,6,1.8391989731556964
52,0.04916666666666668,0.0625,0.2,6,1.8391989731556964
53,0.04916666666666668,0.0625,0.2,6,1.783689537782626
54,0.04916666666666668,0.0625,0.2,6,1.741743857958553
55,0.04916666666666668,0.0625,0.2,6,1.7347352860343375
56,0.04916666666666668,0.0625,0.2,6,1.7347352860343375
57,0.04916666666666668,0.0625,0.2,6,1.7347352860343375
58,0.04916666666666668,0.0625,0.2,6,1.7059190034861655
59,0.04916666666666668,0.0625,0.2,6,1.7059190034861655
60,0.04916666666666668,0.0625,0.2,6,1.7059190034861655
61,0.04916666666666668,0.0625,0.2,6,1.6976511714045286
62,0.04916666666666668,0.0625,0.2,6,1.6976511714045286
63,0.04916666666666668,0.0625,0.2,6,1.6976511714045286
64,0.04916666666666668,0.0625,0.2,6,1.6627955399907317
65,0.04916666666666668,0.0625,0.2,6,1.6627955399907317
66,0.04916666666666668,0.0625,0.2,6,1.5640721865716052
67,0.04916666666666668,0.0625,0.2,6,1.5640721865716052
68,0.04916666666666668,0.0625,0.2,6,1.5149793367098894
69,0.04916666666666668,0.0625,0.2,6,1.5170279489238203
70,0.04916666666666668,0.0625,0.2,6,1.5170279489238203
71,0.04916666666666668,0.0625,0.2,6,1.5170279489238203
72,0.04916666666666668,0.0625,0.2,6,1.5070232035979954
73,0.04916666666666668,0.0625,0.2,6,1.5070232035979954
74,0.04916666666666668,0.0625,0.2,6,1.5070232035979954
75,0.04916666666666668,0.0625,0.2,6,1.4215029418079212
76,0.04916666666666668,0.0625,0.2,6,1.3567534033966522
77,0.04916666666666668,0.0625,0.2,6,1.3575528057581747
78,0.04916666666666668,0.0625,0.2,6,1.3575528057581747
79,0.04916666666666668,0.0625,0.2,6,1.3098921435390438
80,0.04916666666666668,0.0625,0.2,6,1.3098921435390438
81,0.04916666666666668,0.0625,0.2,6,1.3098921435390438
82,0.04916666666666668,0.0625,0.2,6,1.3098921435390438
83,0.04916666666666668,0.0625,0.2,6,1.3098921435390438
84,0.04916666666666668,0.0625,0.2,6,1.3098921435390438
