iteracion,mejor_fitness,error_knn,penalizacion_tamano,num_caracteristicas,diversidad_poblacion
1,0.3648813186813187,0.4368131868131868,0.176,88,1.0406152807298026
2,0.3504461538461539,0.44780219780219777,0.138,69,1.0181305790900286
3,0.3504461538461539,0.44780219780219777,0.138,69,1.2076118804198115
4,0.3504461538461539,0.44780219780219777,0.138,69,1.21629882061133
5,0.3323934065934066,0.3653846153846154,0.226,113,1.1468807424540195
6,0.3184307692307692,0.37637362637362637,0.192,96,1.19575020545979
7,0.3184307692307692,0.37637362637362637,0.192,96,1.2218515617583932
8,0.3184307692307692,0.37637362637362637,0.192,96,1.2411559762597961
9,0.3184307692307692,0.37637362637362637,0.192,96,1.2120058699169036
10,0.3184307692307692,0.37637362637362637,0.192,96,1.1606592268781302
11,0.3184307692307692,0.37637362637362637,0.192,96,1.1488894612904288
12,0.3184307692307692,0.37637362637362637,0.192,96,1.1681090746345657
13,0.3184307692307692,0.37637362637362637,0.192,96,1.1411411613821794
14,0.3184307692307692,0.37637362637362637,0.192,96,1.1322189087266965
15,0.3184307692307692,0.37637362637362637,0.192,96,1.098557316265641
16,0.3184307692307692,0.37637362637362637,0.192,96,1.1074961927699651
17,0.3184307692307692,0.37637362637362637,0.192,96,1.1120680757049703
18,0.3184307692307692,0.37637362637362637,0.192,96,1.1029802991822006
19,0.3184307692307692,0.37637362637362637,0.192,96,1.0812734969029165
20,0.3184307692307692,0.37637362637362637,0.192,96,1.0760269805861398
21,0.3184307692307692,0.37637362637362637,0.192,96,1.0640682092296627
22,0.31354065934065933,0.32692307692307687,0.218,109,1.0701566323357896
23,0.296378021978022,0.3626373626373627,0.218,109,1.112634261447819
24,0.28928791208791205,0.31868131868131866,0.23,115,1.1539284991669079
25,0.28928791208791205,0.31868131868131866,0.23,115,1.169096270417394
26,0.28928791208791205,0.31868131868131866,0.23,115,1.1785144676944874
27,0.28928791208791205,0.31868131868131866,0.23,115,1.1667656085892264
28,0.28928791208791205,0.31868131868131866,0.23,115,1.1640381076496054
29,0.28928791208791205,0.31868131868131866,0.23,115,1.1646026727962056
30,0.28928791208791205,0.31868131868131866,0.23,115,1.1474578117160381
31,0.28928791208791205,0.31868131868131866,0.23,115,1.1380816537124976
32,0.28928791208791205,0.31868131868131866,0.23,115,1.1312902671245038
33,0.28928791208791205,0.31868131868131866,0.23,115,1.1092557527945142
34,0.28928791208791205,0.31868131868131866,0.23,115,1.096655383068946
35,0.28928791208791205,0.31868131868131866,0.23,115,1.1099334440245225
36,0.28928791208791205,0.31868131868131866,0.23,115,1.0885639694363476
37,0.28928791208791205,0.31868131868131866,0.23,115,1.075659047484884
38,0.28928791208791205,0.31868131868131866,0.23,115,1.0677765460983002
39,0.28928791208791205,0.31868131868131866,0.23,115,1.0560818211386722
40,0.28928791208791205,0.31868131868131866,0.23,115,1.0530869978483026
41,0.28928791208791205,0.31868131868131866,0.23,115,1.0487383000150328
42,0.28928791208791205,0.31868131868131866,0.23,115,1.0504502539272225
43,0.28928791208791205,0.31868131868131866,0.23,115,1.0178499356751864
44,0.28928791208791205,0.31868131868131866,0.23,115,1.0197975026619648
45,0.28928791208791205,0.31868131868131866,0.23,115,1.0213449476799301
46,0.28928791208791205,0.31868131868131866,0.23,115,1.0160847540132187
47,0.28928791208791205,0.31868131868131866,0.23,115,1.0038913927566706
48,0.28928791208791205,0.31868131868131866,0.23,115,0.9962353434520764
49,0.28928791208791205,0.31868131868131866,0.23,115,0.9975078889173637
50,0.28928791208791205,0.31868131868131866,0.23,115,1.004108947460921
51,0.28928791208791205,0.31868131868131866,0.23,115,0.9919886645234405
52,0.28928791208791205,0.31868131868131866,0.23,115,0.9833422772032896
53,0.28928791208791205,0.31868131868131866,0.23,115,0.9811844327216794
54,0.28928791208791205,0.31868131868131866,0.23,115,0.9762098223398284
55,0.28928791208791205,0.31868131868131866,0.23,115,0.9783512282815616
56,0.28928791208791205,0.31868131868131866,0.23,115,0.9694735722333302
57,0.28928791208791205,0.31868131868131866,0.23,115,0.9754212675272741
58,0.28928791208791205,0.31868131868131866,0.23,115,0.9629649784977977
59,0.28928791208791205,0.31868131868131866,0.23,115,0.9557892880754366
60,0.28928791208791205,0.31868131868131866,0.23,115,0.9576001050501568
61,0.28928791208791205,0.31868131868131866,0.23,115,0.9537287674931009
62,0.28928791208791205,0.31868131868131866,0.23,115,0.9451999440609778
63,0.28928791208791205,0.31868131868131866,0.23,115,0.9480170583334083
64,0.28928791208791205,0.31868131868131866,0.23,115,0.9458050805057607
65,0.28928791208791205,0.31868131868131866,0.23,115,0.932396642490263
66,0.28928791208791205,0.31868131868131866,0.23,115,0.9329655426343703
67,0.28928791208791205,0.31868131868131866,0.23,115,0.9230899790922212
68,0.2815252747252748,0.30494505494505497,0.228,114,0.9306885844154132
69,0.2815252747252748,0.30494505494505497,0.228,114,0.9698322480138822
70,0.2815252747252748,0.30494505494505497,0.228,114,0.9859178781787955
71,0.2815252747252748,0.30494505494505497,0.228,114,0.9742585460230656
72,0.2815252747252748,0.30494505494505497,0.228,114,0.9771335147246913
73,0.2815252747252748,0.30494505494505497,0.228,114,0.9943434381429592
74,0.2815252747252748,0.30494505494505497,0.228,114,0.9921339800686821
75,0.2815252747252748,0.30494505494505497,0.228,114,0.9846293810817425
76,0.2815252747252748,0.30494505494505497,0.228,114,0.9732133138823643
77,0.2815252747252748,0.30494505494505497,0.228,114,0.9796090169035554
78,0.2815252747252748,0.30494505494505497,0.228,114,0.9769267972711357
79,0.27792527472527473,0.35439560439560436,0.236,118,0.9730849128055749
80,0.27792527472527473,0.35439560439560436,0.236,118,0.9924587312894844
81,0.27792527472527473,0.35439560439560436,0.236,118,1.01089190327646
82,0.27792527472527473,0.35439560439560436,0.236,118,1.0130380971110486
83,0.27792527472527473,0.35439560439560436,0.236,118,1.01635885662396
84,0.27792527472527473,0.35439560439560436,0.236,118,1.0286087351722393
85,0.27792527472527473,0.35439560439560436,0.236,118,1.0254189966514005
86,0.27792527472527473,0.35439560439560436,0.236,118,1.015196109899917
87,0.27792527472527473,0.35439560439560436,0.236,118,1.0118838446420644
88,0.27792527472527473,0.35439560439560436,0.236,118,1.012868557706383
89,0.27792527472527473,0.35439560439560436,0.236,118,1.0077181688228039
90,0.27792527472527473,0.35439560439560436,0.236,118,1.0036178410333945
91,0.27792527472527473,0.35439560439560436,0.236,118,0.998182215582263
92,0.27792527472527473,0.35439560439560436,0.236,118,0.9978554407864537
93,0.27792527472527473,0.35439560439560436,0.236,118,0.9950772138053349
94,0.27792527472527473,0.35439560439560436,0.236,118,0.9919705423044518
95,0.27792527472527473,0.35439560439560436,0.236,118,0.9893030630355817
96,0.27792527472527473,0.35439560439560436,0.236,118,0.992006554400083
97,0.27792527472527473,0.35439560439560436,0.236,118,0.9863888309700856
98,0.27792527472527473,0.35439560439560436,0.236,118,0.9791298230277807
99,0.27792527472527473,0.35439560439560436,0.236,118,0.9772904479103639
100,0.27792527472527473,0.35439560439560436,0.236,118,0.9723826478004092
101,0.27792527472527473,0.35439560439560436,0.236,118,0.97911759490336
102,0.27792527472527473,0.35439560439560436,0.236,118,0.9755519960025626
103,0.27792527472527473,0.35439560439560436,0.236,118,0.9666349009887216
104,0.27792527472527473,0.35439560439560436,0.236,118,0.9708915101330223
105,0.27792527472527473,0.35439560439560436,0.236,118,0.9619419652301997
106,0.27792527472527473,0.35439560439560436,0.236,118,0.9590422779432367
107,0.27792527472527473,0.35439560439560436,0.236,118,0.9563136050024483
108,0.27792527472527473,0.35439560439560436,0.236,118,0.9596276601491158
109,0.27792527472527473,0.35439560439560436,0.236,118,0.9550046781323324
110,0.27792527472527473,0.35439560439560436,0.236,118,0.9453118425944393
111,0.27792527472527473,0.35439560439560436,0.236,118,0.9410247645022746
112,0.27792527472527473,0.35439560439560436,0.236,118,0.952514369993173
113,0.27792527472527473,0.35439560439560436,0.236,118,0.9393016012621888
114,0.27792527472527473,0.35439560439560436,0.236,118,0.9356030586074895
115,0.27792527472527473,0.35439560439560436,0.236,118,0.9392649035278674
116,0.27792527472527473,0.35439560439560436,0.236,118,0.9412125255696945
117,0.27792527472527473,0.35439560439560436,0.236,118,0.9321398887561154
118,0.27792527472527473,0.35439560439560436,0.236,118,0.9323286421965611
119,0.27792527472527473,0.35439560439560436,0.236,118,0.9309232347108252
120,0.27792527472527473,0.35439560439560436,0.236,118,0.9365126261482637
121,0.27792527472527473,0.35439560439560436,0.236,118,0.9346187879522042
122,0.27792527472527473,0.35439560439560436,0.236,118,0.9258536273951923
123,0.27792527472527473,0.35439560439560436,0.236,118,0.9221301075042543
124,0.27792527472527473,0.35439560439560436,0.236,118,0.9193977057152807
