Algorithm,Accuracy (Mean),Accuracy (Std),F1-Score (Mean),F1-Score (Std),N° Features (Mean),N° Features (Std),Time (Mean),Time (Std)
DOA-KNN,0.6355555555555557,0.06969661305171487,0.65132843953031,0.06600548474151018,63.1,36.42976236824633,143.98750307559968,14.561915673154836
PSO-KNN,0.5864529914529916,0.025250526302841907,0.6007715719950651,0.02659799394363518,86.3,17.358591234750943,123.14323495229085,6.748568306285009
GWO-KNN,0.5926068376068376,0.02369896325551431,0.6078440906697159,0.031403112567075654,135.56666666666666,17.198001755082363,142.00466113885244,9.180418815250967
KNN-Full,0.5371794871794874,2.2584051416334807e-16,0.5957446808510637,1.1292025708167404e-16,500.0,0.0,,
