Algorithm,Accuracy (Mean),Accuracy (Std),F1-Score (Mean),F1-Score (Std),N° Features (Mean),N° Features (Std),Time (Mean),Time (Std)
DOA-KNN,0.9588693957115009,0.013605315225266996,0.9675818170118261,0.01073276265947701,10.633333333333333,3.4289169229317613,2.8456820964813234,0.16429511985112427
PSO-KNN,0.9563352826510718,0.010498645414857425,0.9655228528489318,0.00828449864933316,10.5,2.345207879911715,2.6513964732488,0.15080281138126214
GWO-KNN,0.9586744639376216,0.010960262059785267,0.9673807518433465,0.008594450189183795,9.266666666666667,2.1161665623339365,2.7533960580825805,0.1460087535622149
KNN-Full,0.9590643274853797,2.2584051416334807e-16,0.9677419354838712,2.2584051416334807e-16,30.0,0.0,,
