iteracion,mejor_fitness,error_knn,pct_reduccion,num_caracteristicas,diversidad_poblacion
1,0.08166666666666669,0.050000000000000044,0.4,12,4.657829204452763
2,0.08166666666666669,0.050000000000000044,0.4,12,3.8247231470069796
3,0.08166666666666669,0.050000000000000044,0.4,12,3.3112431255961727
4,0.07833333333333337,0.0625,0.3333333333333333,10,2.841367627323393
5,0.07833333333333337,0.0625,0.3333333333333333,10,2.4683291904779328
6,0.07833333333333337,0.0625,0.3333333333333333,10,2.200941080642114
7,0.07833333333333337,0.0625,0.3333333333333333,10,2.075595603046637
8,0.07374999999999998,0.0625,0.4,12,2.0543927340898613
9,0.07374999999999998,0.0625,0.4,12,1.8616195204204926
10,0.07374999999999998,0.0625,0.4,12,1.906375694131356
11,0.07374999999999998,0.0625,0.4,12,1.883930974869384
12,0.07374999999999998,0.0625,0.4,12,1.855122116522307
13,0.07374999999999998,0.0625,0.4,12,1.7650473011219712
14,0.07374999999999998,0.0625,0.4,12,1.6239775281263642
15,0.07374999999999998,0.0625,0.4,12,1.540058470354006
16,0.07374999999999998,0.0625,0.4,12,1.5513055220747496
17,0.07374999999999998,0.0625,0.4,12,1.5835971892004788
18,0.07374999999999998,0.0625,0.4,12,1.5291134568120879
19,0.07374999999999998,0.0625,0.4,12,1.5685104505419614
20,0.07374999999999998,0.0625,0.4,12,1.5144194750556814
21,0.07374999999999998,0.0625,0.4,12,1.5313265608172173
22,0.07374999999999998,0.0625,0.4,12,1.5100255108345662
23,0.07374999999999998,0.0625,0.4,12,1.4771335854648067
24,0.07374999999999998,0.0625,0.4,12,1.3808421517631708
25,0.07374999999999998,0.0625,0.4,12,1.3794433110499436
26,0.07374999999999998,0.0625,0.4,12,1.3380359396196229
27,0.07374999999999998,0.0625,0.4,12,1.2709361637648047
28,0.07374999999999998,0.0625,0.4,12,1.3921296404042778
29,0.07041666666666663,0.0625,0.4,12,1.3778482721456748
30,0.07041666666666663,0.0625,0.4,12,1.3702470568744127
31,0.07041666666666663,0.0625,0.4,12,1.3012097015405895
32,0.07041666666666663,0.0625,0.4,12,1.3456690967691243
33,0.07041666666666663,0.0625,0.4,12,1.416679135866971
34,0.07041666666666663,0.0625,0.4,12,1.329598647783923
35,0.07041666666666663,0.0625,0.4,12,1.2343475784721558
36,0.07041666666666663,0.0625,0.4,12,1.2816378011553733
37,0.07041666666666663,0.0625,0.4,12,1.2415664989368718
38,0.07041666666666663,0.0625,0.4,12,1.2685183048869908
39,0.07041666666666663,0.0625,0.4,12,1.2878052294858648
40,0.07041666666666663,0.0625,0.4,12,1.2472384649621755
41,0.07041666666666663,0.0625,0.4,12,1.233860941302137
42,0.07041666666666663,0.0625,0.4,12,1.255469468213388
43,0.07041666666666663,0.0625,0.4,12,1.2022848691549988
44,0.07041666666666663,0.0625,0.4,12,1.2011719926109243
45,0.07041666666666663,0.0625,0.4,12,1.2196445537900595
46,0.07041666666666663,0.0625,0.4,12,1.205978746094519
47,0.07041666666666663,0.0625,0.4,12,1.2298429057177966
48,0.07041666666666663,0.0625,0.4,12,1.1356277353790316
49,0.07041666666666663,0.0625,0.4,12,1.1370243445958743
50,0.07041666666666663,0.0625,0.4,12,1.1934179846484305
51,0.07041666666666663,0.0625,0.4,12,1.1620705493182824
52,0.07041666666666663,0.0625,0.4,12,1.1095343961000284
53,0.07041666666666663,0.0625,0.4,12,1.1316470243807601
54,0.07041666666666663,0.0625,0.4,12,1.1390039507075158
55,0.07041666666666663,0.0625,0.4,12,1.1843822129960973
56,0.07041666666666663,0.0625,0.4,12,1.1420722900054054
57,0.07041666666666663,0.0625,0.4,12,1.0796538527150614
58,0.07041666666666663,0.0625,0.4,12,1.1192443916951949
59,0.07041666666666663,0.0625,0.4,12,1.0754069814428369
60,0.07041666666666663,0.0625,0.4,12,0.9820459718920287
61,0.07041666666666663,0.0625,0.4,12,1.0409039847411758
62,0.07041666666666663,0.0625,0.4,12,1.0244534633266011
63,0.07041666666666663,0.0625,0.4,12,1.004320474435959
64,0.07041666666666663,0.0625,0.4,12,1.0242148768767045
65,0.07041666666666663,0.0625,0.4,12,1.0005394436284072
66,0.07041666666666663,0.0625,0.4,12,1.0543726380724743
67,0.07041666666666663,0.0625,0.4,12,1.0061981667026758
68,0.07041666666666663,0.0625,0.4,12,1.0201276437909566
69,0.07041666666666663,0.0625,0.4,12,1.0481279107239405
70,0.07041666666666663,0.0625,0.4,12,1.0961816530149617
71,0.07041666666666663,0.0625,0.4,12,1.0469867304916016
72,0.07041666666666663,0.0625,0.4,12,1.0529769982416446
73,0.07041666666666663,0.0625,0.4,12,1.0154232383290631
74,0.07041666666666663,0.0625,0.4,12,1.0308365145266214
75,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,1.064231212146802
76,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,1.067827878981272
77,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,1.1125760494356731
78,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,1.1062049277863266
79,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,1.072321628467655
80,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,1.000958572462861
81,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,0.9974163193922373
82,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,0.9891863743486464
83,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,1.0606554910452275
84,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,1.0340445877487414
85,0.0670833333333333,0.03749999999999998,0.3333333333333333,10,1.0075551761742336
